iter	Passed	Remaining
0	380	113699
1	566	84465
2	778	77071
3	1011	74863
4	1267	74780
5	1495	73276
6	1942	81326
7	2190	79959
8	2417	78165
9	2633	76385
10	2874	75525
11	3136	75287
12	3369	74390
13	3561	72751
14	3775	71729
15	3989	70806
16	4186	69696
17	4381	68649
18	4615	68268
19	4796	67147
20	4972	66061
21	5158	65186
22	5346	64391
23	5536	63674
24	5701	62717
25	5895	62133
26	6095	61635
27	6290	61105
28	6491	60665
29	6699	60291
30	6908	59945
31	7094	59414
32	7271	58830
33	7477	58502
34	7688	58210
35	7902	57951
36	8099	57572
37	8278	57081
38	8477	56731
39	8681	56428
40	8880	56098
41	9064	55684
42	9235	55200
43	9416	54789
44	9605	54429
45	9805	54143
46	10006	53863
47	10193	53513
48	10403	53293
49	10588	52942
50	10791	52689
51	11004	52482
52	11243	52396
53	11480	52299
54	11765	52409
55	11972	52165
56	12267	52297
57	12777	53314
58	13102	53522
59	13348	53392
60	13568	53162
61	13780	52900
62	14008	52700
63	14245	52529
64	14462	52286
65	14654	51957
66	14845	51625
67	15025	51264
68	15229	50985
69	15429	50695
70	15630	50414
71	15826	50117
72	16039	49874
73	16246	49618
74	16454	49363
75	16682	49169
76	16878	48881
77	17104	48681
78	17354	48549
79	17549	48261
80	17782	48079
81	18004	47866
82	18208	47605
83	18415	47354
84	18618	47094
85	18818	46827
86	19251	47132
87	19688	47431
88	19900	47179
89	20168	47059
90	20403	46861
91	20657	46704
92	20983	46704
93	21249	46568
94	21466	46322
95	21705	46123
96	21905	45844
97	22129	45614
98	22360	45398
99	22553	45106
100	22749	44822
101	22947	44544
102	23121	44221
103	23316	43942
104	23515	43672
105	23717	43407
106	23944	43190
107	24161	42953
108	24365	42694
109	24663	42600
110	24880	42364
111	25155	42225
112	25372	41987
113	25588	41749
114	25790	41489
115	25995	41234
116	26218	41008
117	26406	40728
118	26616	40484
119	26819	40229
120	27012	39960
121	27254	39764
122	27476	39538
123	27684	39293
124	27927	39098
125	28115	38826
126	28321	38579
127	28550	38364
128	28718	38069
129	28935	37838
130	29136	37588
131	29403	37422
132	29643	37221
133	29837	36962
134	30063	36743
135	30278	36512
136	30482	36267
137	30695	36033
138	30911	35804
139	31129	35576
140	31313	35311
141	31520	35072
142	31747	34855
143	31966	34630
144	32178	34397
145	32414	34190
146	32609	33940
147	32800	33686
148	32994	33437
149	33175	33175
150	33376	32934
151	33560	32677
152	33764	32440
153	33948	32185
154	34167	31963
155	34350	31708
156	34534	31454
157	34725	31208
158	34917	30964
159	35090	30704
160	35275	30455
161	35474	30218
162	35643	29958
163	35799	29687
164	35977	29435
165	36173	29200
166	36351	28950
167	36560	28726
168	36759	28494
169	36942	28250
170	37160	28033
171	37369	27810
172	37624	27620
173	37819	27386
174	38024	27160
175	38218	26926
176	38446	26717
177	38656	26495
178	38869	26274
179	39045	26030
180	39255	25809
181	39467	25588
182	39672	25364
183	39881	25142
184	40053	24898
185	40275	24684
186	40566	24513
187	40810	24312
188	41010	24085
189	41175	23838
190	41351	23598
191	41546	23369
192	41727	23133
193	41922	22905
194	42097	22667
195	42292	22440
196	42466	22203
197	42707	22000
198	42940	21793
199	43124	21562
200	43324	21339
201	43510	21109
202	43705	20883
203	43910	20663
204	44118	20445
205	44363	20243
206	44728	20095
207	45003	19905
208	45293	19720
209	45565	19527
210	45830	19331
211	46049	19114
212	46275	18901
213	46483	18680
214	46701	18463
215	47440	18449
216	47805	18284
217	48012	18059
218	48401	17901
219	48648	17690
220	48864	17467
221	49245	17302
222	49604	17128
223	50050	16981
224	50282	16760
225	50551	16552
226	50740	16317
227	50938	16085
228	51165	15863
229	51426	15651
230	51701	15443
231	51939	15223
232	52142	14993
233	52366	14769
234	52611	14552
235	52830	14326
236	53007	14090
237	53172	13851
238	53372	13622
239	53610	13402
240	53792	13169
241	53972	12935
242	54145	12700
243	54322	12467
244	54536	12242
245	54736	12015
246	54907	11781
247	55103	11553
248	55306	11327
249	55574	11114
250	55806	10894
251	56025	10671
252	56220	10444
253	56429	10219
254	56633	9994
255	56863	9773
256	57083	9550
257	57253	9320
258	57447	9093
259	57652	8869
260	57844	8643
261	58052	8419
262	58275	8198
263	58481	7974
264	58672	7749
265	58866	7524
266	59087	7302
267	59303	7080
268	59527	6860
269	59707	6634
270	59907	6410
271	60091	6185
272	60260	5959
273	60454	5736
274	60674	5515
275	60877	5293
276	61085	5072
277	61356	4855
278	61590	4635
279	61858	4418
280	62111	4199
281	62361	3980
282	62552	3757
283	62763	3535
284	62948	3313
285	63142	3090
286	63365	2870
287	63566	2648
288	63811	2428
289	64158	2212
290	64383	1991
291	64601	1769
292	64830	1548
293	65032	1327
294	65224	1105
295	65472	884
296	65717	663
297	65939	442
298	66165	221
299	66408	0
